connective,human_upper,HU-CO,HU-EX,HU-CR,CO-EX,CO-CR,EX-CR
dabei,32,-46,-30,-24,16,22,6
so,31,23,31,30,8,7,-1
darüber hinaus,23,-66,-31,-91,35,-25,-60
zudem,22,-51,-14,-7,37,44,7
aufgrund,19,8,5,10,-3,2,5
seit,16,13,12,11,-1,-2,-1
wie,16,9,11,3,2,-6,-8
als,15,9,4,9,-5,0,5
während,15,3,5,-6,2,-9,-11
trotz,14,-6,2,-21,8,-15,-23
da,14,2,-6,5,-8,3,11
daher,12,-8,-17,-9,-9,-1,8
allerdings,10,-31,-13,-13,18,18,0
des weiteren,9,-24,-17,-8,7,16,9
dennoch,7,-16,-16,-14,0,2,2
dadurch,7,-28,-8,-4,20,24,4
obwohl,6,-10,-16,-41,-6,-31,-25
auch wenn,6,6,5,6,-1,0,1
außerdem,5,1,-1,2,-2,1,3
wenn,5,-2,0,-1,2,1,-1
zwar,5,5,5,5,0,0,0
denn,4,-3,3,4,6,7,1
zusätzlich,4,-25,-14,-20,11,5,-6
somit,4,3,4,3,1,0,-1
aber,4,4,4,4,0,0,0
dafür,3,-1,-2,3,-1,4,5
deshalb,3,3,0,3,-3,0,3
ferner,3,3,3,1,0,-2,-2
allein,3,3,2,3,-1,0,1
nachdem,2,2,-1,1,-3,-1,2
ebenfalls,2,2,2,2,0,0,0
weder,2,2,2,2,0,0,0
deswegen,2,2,2,2,0,0,0
dagegen,2,2,1,2,-1,0,1
inzwischen,2,2,-1,2,-3,0,3
hiernach,2,2,2,2,0,0,0
trotzdem,2,0,-2,-2,-2,-2,0
hierdurch,2,1,2,2,1,1,0
seither,2,2,2,2,0,0,0
ob,2,2,1,2,-1,0,1
danach,2,2,2,1,0,-1,-1
zugleich,2,1,2,2,1,1,0
zunächst,2,-7,-8,-5,-1,2,3
infolgedessen,2,2,-1,1,-3,-1,2
aus diesem grund,2,-5,-1,0,4,5,1
demgegenüber,2,2,2,1,0,-1,-1
beispielsweise,1,-2,0,-3,2,-1,-3
vielmehr,1,-2,-3,-1,-1,1,2
weiterhin,1,-3,-8,-1,-5,2,7
zu dem beispiel,1,-8,-3,-1,5,7,2
außer,1,1,1,1,0,0,0
doch,1,-3,-1,-1,2,2,0
statt,1,1,1,1,0,0,0
sofern,1,1,1,1,0,0,0
warum,1,1,1,1,0,0,0
gleichwohl,1,1,1,1,0,0,0
dessen ungeachtet,1,1,1,1,0,0,0
infolge,1,1,1,1,0,0,0
weil,1,1,1,1,0,0,0
hingegen,1,1,1,1,0,0,0
bevor,1,1,1,1,0,0,0
inwieweit,1,1,1,-1,0,-2,-2
darauf,1,1,1,1,0,0,0
währenddessen,1,1,1,1,0,0,0
insofern,1,1,1,1,0,0,0
seitdem,1,-2,-1,1,1,3,2
zumal,0,0,0,0,0,0,0
sonst,0,0,0,0,0,0,0
ohnehin,0,0,0,0,0,0,0
nämlich,0,0,0,0,0,0,0
womit,0,0,0,0,0,0,0
worauf,0,0,0,0,0,0,0
folglich,0,0,0,0,0,0,0
wenn auch,0,0,0,0,0,0,0
wogegen,0,0,0,0,0,0,0
wenngleich,0,0,0,0,0,0,0
sobald,0,0,0,0,0,0,0
mithin,0,0,0,0,0,0,0
zuvor,0,0,0,0,0,0,0
also,0,0,0,0,0,0,0
überdies,0,0,0,0,0,0,0
später,0,0,0,0,0,0,0
obgleich,0,0,0,0,0,0,0
andererseits,0,-1,-3,-1,-2,0,2
falls,0,-1,-1,0,0,1,1
weshalb,0,0,0,0,0,0,0
wonach,0,0,0,0,0,0,0
sodass,0,0,0,0,0,0,0
darum,0,0,0,0,0,0,0
indem,0,-10,-1,-26,9,-16,-25
anstatt,0,-1,0,0,1,1,0
daraufhin,0,0,-1,0,-1,0,1
allenfalls,0,0,0,0,0,0,0
beziehungsweise,0,0,0,0,0,0,0
ansonsten,0,0,0,0,0,0,0
entgegen,0,0,0,0,0,0,0
inwiefern,0,0,0,-3,0,-3,-3
vorher,0,0,0,0,0,0,0
wegen,0,0,-1,0,-1,0,1
sondern,0,0,0,0,0,0,0
dann,0,0,-1,0,-1,0,1
weswegen,0,0,0,0,0,0,0
