feature,persona,test,t-statistic,pvalue,bon,bh
pos_prop_ADV,continue-explain,mannwhitneyu,99111.0,5.881712132009652e-07,4.23483273504695e-05,
pos_prop_ADP,human-create,t-test,5.0340714299219895,5.919870037482697e-07,4.262306426987542e-05,
simpson_diversity,continue-explain,t-test,4.996473486586237,7.156118887867e-07,5.15240559926424e-05,
pos_prop_ADJ,human-explain,t-test,-4.906474990968104,1.12110243115157e-06,8.071937504291304e-05,
top_ngram_chr_fraction_3,human-explain,mannwhitneyu,66375.5,1.5577910449893974e-06,0.00011216095523923661,
lix,human-explain,mannwhitneyu,66408.0,1.6621774163940588e-06,0.00011967677398037224,
doc_length,human-create,mannwhitneyu,66472.5,1.8294716072985338e-06,0.00013172195572549444,
top_ngram_chr_fraction_4,human-continue,mannwhitneyu,67118.0,2.0059696249223925e-06,0.00014442981299441225,
pos_prop_NOUN,continue-create,mannwhitneyu,66702.0,2.567396216893911e-06,0.0001848525276163616,
sentence_length_mean,human-continue,mannwhitneyu,97739.0,4.550620848241558e-06,0.0003276447010733922,
sentence_length_std,explain-create,mannwhitneyu,67383.0,6.829943350728804e-06,0.0004917559212524739,
automated_readability_index,human-create,t-test,-4.421333758717423,1.1146440325311992e-05,0.0008025437034224635,
token_length_median,explain-create,mannwhitneyu,69533.5,1.149577614248539e-05,0.0008276958822589481,
dependency_distance_std,continue-create,mannwhitneyu,67759.0,1.1523881961852356e-05,0.0008297195012533696,
alpha_ratio,continue-create,mannwhitneyu,97071.5,1.1611291058557841e-05,0.0008360129562161645,
gunning_fog,human-create,mannwhitneyu,67765.5,1.1627321489116023e-05,0.0008371671472163537,
duplicate_ngram_chr_fraction_8,human-create,mannwhitneyu,69990.0,1.3407006996732172e-05,0.0009653045037647164,
entropy,explain-create,t-test,4.369195247883721,1.4091033194148742e-05,0.0010145543899787095,
connectives_cap,continue-create,mannwhitneyu,96797.0,1.4967395573380883e-05,0.0010776524812834236,
sentence_length_median,human-explain,mannwhitneyu,68064.5,1.6369307307326916e-05,0.0011785901261275379,
syllables_per_token_mean,human-explain,mannwhitneyu,68077.5,1.7779135636813505e-05,0.0012800977658505724,
rix,continue-create,t-test,-4.310833091458484,1.82664982767055e-05,0.001315187875922796,
yules_k,continue-explain,mannwhitneyu,147903.0,1.893361359687966e-05,0.0013632201789753355,
n_characters,human-explain,t-test,-4.2255754100247005,2.6542423963680065e-05,0.0019110545253849646,
mtld,human-continue,t-test,-4.179382297825922,3.1761935408695634e-05,0.0022868593494260857,
n_stop_words,explain-create,t-test,4.158881122168189,3.5393854721144465e-05,0.0025483575399224013,
pos_prop_NOUN,explain-create,mannwhitneyu,68766.5,4.409151590122362e-05,0.0031745891448881004,
top_ngram_chr_fraction_4,explain-create,mannwhitneyu,95525.5,5.382845307178451e-05,0.003875648621168485,
top_ngram_chr_fraction_3,human-create,mannwhitneyu,69027.5,6.0289463682448155e-05,0.004340841385136267,
top_ngram_chr_fraction_2,human-explain,mannwhitneyu,69193.0,7.580282790800766e-05,0.005457803609376552,
automated_readability_index,human-explain,mannwhitneyu,69246.0,8.099502094418404e-05,0.005831641507981251,
shannon_entropy,human-explain,mannwhitneyu,95518.5,8.85323140522916e-05,0.006374326611764996,
gunning_fog,human-explain,mannwhitneyu,69325.0,8.936201107469322e-05,0.006434064797377912,
prop_adjacent_dependency_relation_std,continue-explain,mannwhitneyu,95215.0,0.00012854913402147357,0.009255537649546097,
flesch_kincaid_grade,human-explain,t-test,-3.8292487657275425,0.00013845497482171165,0.00996875818716324,
top_ngram_chr_fraction_2,human-create,mannwhitneyu,69991.5,0.00020052551164304654,0.01443783683829935,
pos_prop_PUNCT,continue-create,mannwhitneyu,70024.5,0.00020850693487783946,0.015012499311204441,
oov_ratio,human-explain,mannwhitneyu,94414.0,0.00033127313057991747,0.023851665401754058,
flesch_reading_ease,human-create,mannwhitneyu,94341.0,0.000360147452344388,0.025930616568795938,
per_word_perplexity,explain-create,mannwhitneyu,94320.0,0.0003688795700825059,0.026559329045940425,
token_length_median,continue-explain,mannwhitneyu,92832.0,0.00037371318980106415,0.02690734966567662,
n_sentences,continue-create,mannwhitneyu,94244.0,0.000398057190316737,0.028660117702805063,
n_tokens,continue-explain,t-test,3.5342091971894343,0.0004321786794343201,0.031116864919271046,
lix,continue-create,t-test,-3.5261684987107644,0.00044530866748076624,0.03206222405861517,
duplicate_ngram_chr_fraction_9,human-continue,mannwhitneyu,73065.5,0.00044762570611288783,0.03222905084012792,
perplexity,continue-explain,mannwhitneyu,94058.0,0.0004958258864051629,0.03569946382117173,
n_characters,continue-explain,t-test,3.4953356507731312,0.0004991934901956331,0.035941931294085586,
n_stop_words,continue-explain,t-test,3.445896223290443,0.0005984663498389979,0.04308957718840785,
doc_length,continue-explain,t-test,3.405473727131632,0.0006930044604980966,0.049896321155862955,
n_sentences,human-explain,mannwhitneyu,71097.0,0.000699008883684747,0.050328639625301784,
rix,human-explain,t-test,-3.3970890560967573,0.0007142800513530571,0.05142816369742011,
per_word_perplexity,continue-explain,mannwhitneyu,93645.0,0.0007810758713812122,0.056237462739447276,
sentence_length_median,continue-create,mannwhitneyu,71588.0,0.001078186558705887,0.07762943222682386,
n_unique_tokens,human-explain,mannwhitneyu,93299.5,0.001129424403881477,0.08131855707946635,
duplicate_line_chr_fraction,continue-create,t-test,-3.2570624549003844,0.0011725594245235965,0.08442427856569895,
duplicate_line_chr_fraction,explain-create,t-test,-3.2570624549003844,0.0011725594245235965,0.08442427856569895,
perplexity,explain-create,mannwhitneyu,93259.0,0.0011790150655847913,0.08488908472210498,
entropy,human-create,mannwhitneyu,71685.0,0.0013200221929293122,0.09504159789091048,
perplexity,human-create,mannwhitneyu,71685.0,0.0013200221929293122,0.09504159789091048,
pos_prop_PUNCT,explain-create,mannwhitneyu,71715.5,0.0013625680487051562,0.09810489950677125,
prop_adjacent_dependency_relation_std,human-create,mannwhitneyu,93026.0,0.0015025742495228568,0.10818534596564569,
token_length_mean,explain-create,t-test,-3.162748480517779,0.0016211364720359253,0.11672182598658662,
n_tokens,human-explain,t-test,-3.105715791698816,0.0019643194074926793,0.1414309973394729,
lix,human-continue,mannwhitneyu,72084.0,0.001986828267385965,0.14305163525178946,
per_word_perplexity,human-create,mannwhitneyu,72248.0,0.0023413982298893543,0.16858067255203352,
flesch_kincaid_grade,human-create,mannwhitneyu,72345.0,0.002577491110093497,0.1855793599267318,
automated_readability_index,continue-explain,mannwhitneyu,72423.0,0.002782914842938239,0.20036986869155318,
connectives_cap,human-create,mannwhitneyu,72499.5,0.002835697661334835,0.20417023161610812,
automated_readability_index,continue-create,t-test,-2.9821822352032146,0.0029478159651709574,0.21224274949230892,
shannon_entropy,continue-create,mannwhitneyu,72576.0,0.00322984436318746,0.23254879414949714,
duplicate_ngram_chr_fraction_9,human-create,mannwhitneyu,74782.5,0.0036137622530566654,0.2601908822200799,
dependency_distance_std,continue-explain,mannwhitneyu,72765.0,0.003871924648293955,0.27877857467716477,
type_token_ratio,continue-explain,mannwhitneyu,141151.0,0.004731387298976299,0.3406598855262935,
sentence_length_mean,human-create,mannwhitneyu,91693.0,0.005515072850951849,0.3970852452685331,
mean_word_length,explain-create,t-test,-2.750738069207351,0.006078801490597904,0.4376737073230491,
shannon_entropy,explain-create,mannwhitneyu,91548.0,0.006296789509993402,0.453368844719525,
n_tokens,continue-create,mannwhitneyu,91448.5,0.006889012271384119,0.49600888353965655,
prop_adjacent_dependency_relation_std,continue-create,mannwhitneyu,73433.0,0.007176959199267689,0.5167410623472737,
symbol_to_word_ratio_#,human-continue,t-test,2.6568848919272336,0.008041891347256788,0.5790161770024888,
symbol_to_word_ratio_#,human-explain,t-test,2.6568848919272336,0.008041891347256788,0.5790161770024888,
sentence_length_mean,continue-create,mannwhitneyu,73563.0,0.008058195046535278,0.58019004335054,
syllables_per_token_median,explain-create,mannwhitneyu,79982.0,0.009551475967910962,0.6877062696895893,
rix,human-create,mannwhitneyu,73781.0,0.009755247197128112,0.7023777981932241,
simpson_diversity,continue-create,t-test,2.560393664754922,0.01063564034235271,0.7657661046493951,
coleman_liau_index,explain-create,t-test,-2.5493240318331583,0.010976442976024061,0.7903038942737324,
pos_prop_ADV,human-explain,mannwhitneyu,90888.0,0.011263627908906906,0.8109812094412973,
entropy,human-explain,t-test,-2.5196484614297767,0.011938510693756331,0.8595727699504558,
gunning_fog,human-continue,mannwhitneyu,74050.0,0.012283663405452208,0.884423765192559,
top_ngram_chr_fraction_4,continue-create,mannwhitneyu,90404.0,0.012952735185795853,0.9325969333773014,
pos_prop_ADP,human-explain,t-test,-2.480790950825035,0.013311147699435984,0.9584026343593908,
flesch_reading_ease,human-explain,mannwhitneyu,90395.0,0.016991757030830924,1.0,
duplicate_line_chr_fraction,human-create,mannwhitneyu,80388.0,0.01724996881330506,1.0,
top_ngram_chr_fraction_2,continue-explain,mannwhitneyu,74517.0,0.018071789318166453,1.0,
lix,continue-explain,mannwhitneyu,74687.0,0.02070763060068576,1.0,
symbol_to_word_ratio_#,continue-create,t-test,-2.3143367982846503,0.020898569691640913,1.0,
symbol_to_word_ratio_#,explain-create,t-test,-2.3143367982846503,0.020898569691640913,1.0,
doc_length,continue-create,mannwhitneyu,89971.0,0.023819645789937432,1.0,
entropy,continue-explain,t-test,2.254991952163371,0.02440008115191065,1.0,
proportion_bullet_points,human-explain,mannwhitneyu,84241.5,0.027829119400962322,1.0,
gunning_fog,continue-create,mannwhitneyu,75090.0,0.028330483306748304,1.0,
flesch_kincaid_grade,continue-explain,t-test,-2.174330319526011,0.02996914697431992,1.0,
