feature,persona,test,t-statistic,pvalue,bon,bh,reject
mtld,human-asmachine,t-test,-35.311467282811236,2.1411094395985075e-87,1.5201877021149402e-85,1.5201877021149402e-85,True
mtld,human-ashuman,t-test,-32.215187167746805,1.1400115826927748e-80,8.094082237118701e-79,4.5320755754541e-73,True
mean_word_length,human-asmachine,t-test,-31.864769367217303,7.015724664011885e-80,4.981164511448438e-78,1.82926734657303e-71,True
mean_word_length,human-ashuman,t-test,-29.59357995606276,1.276641007170169e-74,9.0641511509082e-73,1.6489884969106258e-57,True
type_token_ratio,human-asmachine,t-test,-28.84844583624205,7.729298647491676e-73,5.48780203971909e-71,3.969787149072909e-65,True
coleman_liau_index,human-asmachine,t-test,-26.34565116370395,1.219474440601722e-66,8.658268528272228e-65,5.697836926673442e-64,True
proportion_unique_tokens,human-asmachine,t-test,-26.204184317165875,2.795624752868246e-66,1.984893574536455e-64,3.050053135134362e-45,True
token_length_mean,human-asmachine,t-test,-25.722039809470044,4.815073459160655e-65,3.4187021560040653e-63,1.2485066216311217e-43,True
type_token_ratio,human-ashuman,t-test,-25.406887012073188,3.143506860630239e-64,2.2318898710474697e-62,1.14947748512523e-39,True
coleman_liau_index,human-ashuman,t-test,-23.342838083776115,9.290076038933103e-59,6.595953987642503e-57,8.044478798592008e-38,True
proportion_unique_tokens,human-ashuman,t-test,-23.314068204054056,1.1115213266604028e-58,7.89180141928886e-57,2.3579250989168336e-35,True
token_length_mean,human-ashuman,t-test,-22.472739232091044,2.2072384252267395e-56,1.567139281910985e-54,1.5621680519631577e-33,True
syllables_per_token_mean,human-asmachine,t-test,-18.91296990982921,3.0070946402733145e-46,2.1350371945940533e-44,2.1843061529652763e-33,True
entropy,human-asmachine,t-test,18.34632841332218,1.406768024373095e-44,9.988052973048974e-43,2.2058046009728878e-33,True
syllables_per_token_mean,human-ashuman,t-test,-17.667804553516287,1.4655844711129007e-42,1.0405649744901595e-40,2.682315677389567e-31,True
pos_prop_VERB,human-ashuman,t-test,-17.36809001303985,1.156403647104223e-41,8.210465894439983e-40,2.514670947552719e-31,True
pos_prop_CCONJ,human-asmachine,t-test,17.07187726123739,8.973995361050218e-41,6.371536706345655e-39,2.0959426502603922e-32,True
lix,human-ashuman,t-test,-17.001959359456425,1.457084136074235e-40,1.0345297366127069e-38,6.334276093984102e-31,True
pos_prop_DET,human-asmachine,t-test,16.94442357741173,2.171856051783821e-40,1.542017796766513e-38,4.9721388133699434e-30,True
flesch_reading_ease,human-asmachine,t-test,16.850342368641858,4.173727805037985e-40,2.9633467415769695e-38,8.994126065597403e-30,True
automated_readability_index,human-ashuman,t-test,-16.37631374681899,1.1330251829002827e-38,8.044478798592008e-37,2.4856176465440355e-29,True
pos_prop_CCONJ,human-ashuman,t-test,15.551924516918833,3.653123392688052e-36,2.593717608808517e-34,4.263574307231538e-29,True
yules_k,human-asmachine,mannwhitneyu,0.0,2.562143669163401e-34,1.8191220051060147e-32,2.1433638374867232e-24,True
yules_k,human-ashuman,mannwhitneyu,1.0,2.640284031487027e-34,1.8746016623557892e-32,5.4522283934456154e-27,True
lix,human-asmachine,t-test,-14.885228658327303,3.999433801204027e-34,2.839597998854859e-32,7.814219933819068e-23,True
automated_readability_index,human-asmachine,t-test,-14.87333745550635,4.349473861073299e-34,3.0881264413620427e-32,1.4329442009347079e-21,True
top_ngram_chr_fraction_4,human-asmachine,t-test,14.794001666682954,7.613637048752295e-34,5.405682304614129e-32,6.324131020992862e-21,True
per_word_perplexity,human-asmachine,mannwhitneyu,9925.0,2.3987946470332283e-33,1.703144199393592e-31,1.0988917965432917e-20,True
top_ngram_chr_fraction_4,human-ashuman,t-test,14.539497401704592,4.5930979609412285e-33,3.2610995522682724e-31,3.374921956067192e-19,True
perplexity,human-asmachine,mannwhitneyu,9900.0,5.01845423301784e-33,3.5631025054426665e-31,2.0255813770376383e-20,True
syllables_per_token_median,human-asmachine,t-test,-14.421705543315534,1.0557396155348798e-32,7.4957512702976465e-31,2.5798079315419036e-20,True
per_word_perplexity,human-ashuman,mannwhitneyu,9853.0,1.990201256780612e-32,1.4130428923142345e-30,2.84793638605738e-18,True
perplexity,human-ashuman,mannwhitneyu,9817.0,5.666864107161057e-32,4.0234735160843505e-30,3.045287051183879e-17,True
entropy,human-ashuman,mannwhitneyu,9817.0,5.666864107161057e-32,4.0234735160843505e-30,5.702975828921214e-16,True
token_length_median,human-ashuman,mannwhitneyu,507.0,1.4330495205760299e-31,1.0174651596089812e-29,8.215682213194177e-16,True
rix,human-ashuman,t-test,-14.036645403660891,1.6058728125593499e-31,1.1401696969171384e-29,3.8079944356878574e-13,True
flesch_kincaid_grade,human-ashuman,t-test,-13.83279460549325,6.787240182548468e-31,4.818940529609412e-29,4.688851036188855e-13,True
token_length_median,human-asmachine,mannwhitneyu,562.5,1.3305723585074496e-30,9.447063745402892e-29,5.387944285802799e-12,True
alpha_ratio,human-asmachine,t-test,-13.64649345585775,2.5335566381964513e-30,1.7988252131194805e-28,1.5401812113666558e-08,True
gunning_fog,human-ashuman,t-test,-13.530132868051624,5.766893348357131e-30,4.0944942773335635e-28,8.157354538918847e-12,True
flesch_reading_ease,human-ashuman,mannwhitneyu,9646.0,7.351826841890808e-30,5.219797057742474e-28,1.5183758486128885e-10,True
syllables_per_token_median,human-ashuman,t-test,-13.41283602985579,1.321107531818223e-29,9.379863475909384e-28,4.557972087057696e-09,True
pos_prop_PUNCT,human-asmachine,t-test,13.324843062975086,2.459928413712221e-29,1.7465491737356767e-27,5.997847550665836e-05,True
pos_prop_DET,human-ashuman,t-test,13.211312144020257,5.484625680531186e-29,3.894084233177142e-27,4.133713311790262e-08,True
pos_prop_AUX,human-asmachine,t-test,12.775581594844844,1.1856320204269413e-27,8.417987345031283e-26,0.0001723044807577345,True
pos_prop_PUNCT,human-ashuman,mannwhitneyu,9444.0,1.8430067808830248e-27,1.3085348144269477e-25,8.586840018241583e-08,True
alpha_ratio,human-ashuman,mannwhitneyu,649.0,2.1616969403410974e-26,1.5348048276421792e-24,1.024947056813528e-06,True
dependency_distance_std,human-ashuman,mannwhitneyu,9240.0,3.8193163383053404e-25,2.7117146001967916e-23,1.3557677625704616e-05,True
dependency_distance_std,human-asmachine,t-test,11.867440653980232,6.943291304534455e-25,4.929736826219463e-23,0.0006317849186832097,True
duplicate_ngram_chr_fraction_5,human-asmachine,mannwhitneyu,9119.0,1.546411217210235e-24,1.097951964219267e-22,0.0024825702924085686,True
duplicate_ngram_chr_fraction_5,human-ashuman,mannwhitneyu,9072.0,6.881459773448163e-24,4.885836439148196e-22,5.8602373781327246e-05,True
n_unique_tokens,human-asmachine,mannwhitneyu,931.0,2.751485892189813e-23,1.953554983454767e-21,0.0030185450692847035,True
prop_adjacent_dependency_relation_mean,human-ashuman,t-test,-11.321086511877576,3.103774141126416e-23,2.2036796401997555e-21,0.0019068911055950064,True
flesch_kincaid_grade,human-asmachine,t-test,-10.911164407429775,5.247401299197521e-22,3.72565492243024e-20,0.01663235306583273,True
n_stop_words,human-asmachine,mannwhitneyu,8882.5,2.4049512333353136e-21,1.7075153756680727e-19,0.023744589815512886,True
rix,human-asmachine,mannwhitneyu,1142.5,4.333657789184813e-21,3.076897030321217e-19,0.03182633964975185,True
gunning_fog,human-asmachine,t-test,-10.518706123670782,7.685353330871075e-21,5.456600864918463e-19,0.03504600634208726,True
dependency_distance_mean,human-asmachine,t-test,10.502890058491236,8.558794550863261e-21,6.076744131112915e-19,0.13235665548775905,True
syllables_per_token_std,human-asmachine,t-test,-10.462506868998794,1.1263950123633664e-20,7.997404587779901e-19,0.22554473268162847,True
top_ngram_chr_fraction_2,human-asmachine,mannwhitneyu,8756.0,4.467781118875905e-20,3.1721245944018924e-18,0.22569230657274,True
top_ngram_chr_fraction_3,human-asmachine,mannwhitneyu,8711.0,5.858753886255071e-20,4.1597152592411005e-18,0.24438599756458146,True
top_ngram_chr_fraction_2,human-ashuman,mannwhitneyu,8706.0,1.3784892496612476e-19,9.787273672594858e-18,0.6081150091677523,True
dependency_distance_mean,human-ashuman,t-test,9.99678080256084,2.616922762957567e-19,1.858015161699873e-17,0.7872559433648988,True
pos_prop_AUX,human-ashuman,t-test,9.93606581164126,3.9310231618860307e-19,2.791026444939082e-17,0.8915979949598286,True
pos_prop_VERB,human-asmachine,mannwhitneyu,1347.0,4.477928346757359e-19,3.179329126197725e-17,0.511163739371639,True
top_ngram_chr_fraction_3,human-ashuman,mannwhitneyu,8583.0,1.2835769627300868e-18,9.113396435383616e-17,,True
n_unique_tokens,human-ashuman,mannwhitneyu,1507.0,1.4154151082967326e-17,1.0049447268906801e-15,,True
pos_prop_ADV,human-ashuman,t-test,-8.94120545762595,2.7310025096242435e-16,1.9390117818332128e-14,,True
syllables_per_token_std,human-ashuman,t-test,-8.879995696206105,4.0499841896027636e-16,2.875488774617962e-14,,True
prop_adjacent_dependency_relation_mean,human-asmachine,t-test,-8.35276949693547,1.1501959750389578e-14,8.166391422776601e-13,,True
oov_ratio,human-asmachine,mannwhitneyu,1873.5,2.2037786672076455e-14,1.5646828537174282e-12,,True
pos_prop_ADJ,human-ashuman,t-test,-7.896461571909421,1.9308140800670827e-13,1.3708779968476286e-11,,True
token_length_std,human-asmachine,mannwhitneyu,2001.0,2.3623841402522306e-13,1.6772927395790837e-11,,True
n_stop_words,human-ashuman,mannwhitneyu,7997.0,2.443485751253347e-13,1.7348748833898765e-11,,True
pos_prop_SCONJ,human-ashuman,mannwhitneyu,2113.0,1.7528650684948366e-12,1.244534198631334e-10,,True
duplicate_ngram_chr_fraction_6,human-asmachine,mannwhitneyu,7588.0,2.883688490993047e-12,2.0474188286050635e-10,,True
duplicate_ngram_chr_fraction_6,human-ashuman,mannwhitneyu,7569.0,4.149294600643146e-12,2.9459991664566335e-10,,True
sentence_length_median,human-ashuman,t-test,-7.367571297620955,4.595692697982448e-12,3.2629418155675384e-10,,True
pos_prop_PRON,human-ashuman,t-test,-6.856626305177569,8.768085886356117e-11,6.225340979312843e-09,,True
sentence_length_mean,human-ashuman,t-test,-6.233573198594211,2.696265178259482e-09,1.9143482765642322e-07,,True
pos_prop_ADP,human-asmachine,t-test,6.016955713986566,8.460150315957686e-09,6.006706724329958e-07,,True
pos_prop_NOUN,human-ashuman,t-test,-5.806138937598166,2.510705808150194e-08,1.7826011237866378e-06,,True
duplicate_ngram_chr_fraction_7,human-ashuman,mannwhitneyu,6816.0,2.561737827024951e-08,1.8188338571877152e-06,,True
n_sentences,human-ashuman,t-test,5.7667764435399,3.067467340571907e-08,2.1779018118060537e-06,,True
first_order_coherence,human-ashuman,t-test,-5.6487087602599315,5.563304800550885e-08,3.949946408391128e-06,,True
duplicate_ngram_chr_fraction_7,human-asmachine,mannwhitneyu,6759.0,9.766555922203441e-08,6.934254704764443e-06,,True
oov_ratio,human-ashuman,mannwhitneyu,2966.5,6.784860798624763e-07,4.8172511670235816e-05,,True
yules_k,ashuman-asmachine,mannwhitneyu,3041.0,1.7066656294568303e-06,0.00012117325969143496,,True
n_stop_words,ashuman-asmachine,mannwhitneyu,6954.0,1.809144288683522e-06,0.00012844924449653005,,True
pos_prop_ADP,ashuman-asmachine,mannwhitneyu,6918.5,2.780231925741305e-06,0.00019739646672763266,,True
token_length_std,ashuman-asmachine,mannwhitneyu,3152.0,6.3567922963426425e-06,0.0004513322530403276,,True
pos_prop_ADJ,ashuman-asmachine,t-test,4.627606445092629,6.678779649835337e-06,0.00047419335513830893,,True
sentence_length_median,ashuman-asmachine,t-test,4.568853283015312,8.615710146187706e-06,0.0006117154203793271,,True
token_length_std,human-ashuman,mannwhitneyu,3184.0,9.165753887800304e-06,0.0006507685260338216,,True
n_characters,human-asmachine,mannwhitneyu,3203.0,1.1358041640160687e-05,0.0008064209564514088,,True
pos_prop_VERB,ashuman-asmachine,t-test,4.468796193821868,1.3220475233782877e-05,0.0009386537415985843,,True
second_order_coherence,human-ashuman,t-test,-4.329895360233857,2.3678233897185287e-05,0.0016811546067001554,,True
sentence_length_mean,ashuman-asmachine,t-test,4.315109167100926,2.5173497350601598e-05,0.0017873183118927135,,True
pos_prop_PRON,ashuman-asmachine,t-test,4.311835177272211,2.5516610174282263e-05,0.0018116793223740407,,True
connectives_cap,human-asmachine,mannwhitneyu,6700.0,2.7229216412625463e-05,0.001933274365296408,,True
