feature,persona,test,t-statistic,pvalue,bon,bh,reject
mean_word_length,human-create,t-test,-38.66957207505991,7.627331665662791e-187,5.4154054826205813e-185,5.4154054826205813e-185,
coleman_liau_index,human-create,t-test,-32.699701709748766,1.1703984513313662e-150,8.3098290044527e-149,4.15491450222635e-149,
token_length_mean,human-create,t-test,-32.5053173073922,1.8467643738090263e-149,1.3112027054044085e-147,4.370675684681362e-148,
mean_word_length,human-continue,t-test,-32.36938642782943,1.2728177593361298e-148,9.037006091286522e-147,4.0838322882732865e-98,
mtld,human-create,mannwhitneyu,1297.0,1.6490050865663266e-131,1.1707936114620919e-129,7.487599143925902e-116,
mean_word_length,human-explain,t-test,-29.344838675466228,7.041363263848337e-130,4.999367917332319e-128,5.902624447929073e-74,
yules_k,human-create,mannwhitneyu,6068.0,5.27295714360979e-117,3.743799571962951e-115,1.642362614684678e-108,
mtld,human-continue,mannwhitneyu,6697.0,3.7179158642067096e-115,2.6397202635867637e-113,2.758346696458191e-81,
lix,human-create,t-test,-26.819862047630444,3.475352525534529e-114,2.4675002931295154e-112,9.60268345856625e-88,
flesch_reading_ease,human-create,t-test,26.066920885025702,1.6192307468722178e-109,1.1496538302792746e-107,5.5140939280381356e-86,
token_length_median,human-create,mannwhitneyu,15316.5,2.4782771949463513e-101,1.7595768084119095e-99,4.054005351596214e-85,
token_length_mean,human-continue,t-test,-24.573152229783478,2.69685612658964e-100,1.914767849878644e-98,8.116527435621692e-69,
mtld,human-explain,mannwhitneyu,12027.5,4.315206020720007e-100,3.063796274711205e-98,1.071491713666593e-53,
coleman_liau_index,human-continue,t-test,-24.421693924293077,2.3007505849426965e-99,1.6335329153093146e-97,3.789311116721578e-61,
prop_adjacent_dependency_relation_mean,human-explain,t-test,-24.350340739663146,6.312074915310974e-99,4.4815731898707914e-97,2.76408649739336e-52,
automated_readability_index,human-create,mannwhitneyu,16358.0,1.2172415651703697e-88,8.642415112709624e-87,5.727074707539842e-72,
pos_prop_VERB,human-continue,t-test,-22.437581208447597,2.891602822216797e-87,2.053038003773926e-85,3.531358113755938e-52,
syllables_per_token_mean,human-create,mannwhitneyu,17066.0,7.76632947611005e-87,5.514093928038136e-85,1.972786160261318e-68,
coleman_liau_index,human-explain,t-test,-22.339484825277815,1.1316777037811748e-86,8.034911696846341e-85,1.3677180369391314e-44,
yules_k,human-continue,mannwhitneyu,17188.0,1.582404378340847e-86,1.1235071086220013e-84,3.566565828629108e-46,
gunning_fog,human-create,t-test,-22.21612824294574,6.280853361627938e-86,4.459405886755836e-84,2.4477308875385314e-62,
dependency_distance_std,human-continue,mannwhitneyu,150669.0,6.505902946150825e-86,4.619191091767086e-84,3.82594428683716e-45,
token_length_mean,human-explain,t-test,-22.15555757049727,1.4558519621993456e-85,1.0336548931615355e-83,5.585708878381232e-32,
rix,human-create,mannwhitneyu,17592.0,1.6544108377701978e-85,1.1746316948168405e-83,3.53517341961859e-49,
second_order_coherence,human-continue,mannwhitneyu,18906.0,3.1079962776993704e-82,2.206677357166553e-80,8.235811492291713e-42,
first_order_coherence,human-continue,mannwhitneyu,19129.0,1.1005024572227262e-81,7.813567446281355e-80,2.178094995993693e-40,
pos_prop_VERB,human-create,t-test,-21.322823108557184,1.4333032842913726e-80,1.0176453318468745e-78,4.5188368151762695e-46,
token_length_median,human-continue,mannwhitneyu,24098.5,1.2902198729014041e-79,9.16056109759997e-78,6.085857042359389e-23,
flesch_kincaid_grade,human-create,mannwhitneyu,20485.0,2.1890731561052053e-78,1.554241940834696e-76,3.920039384212451e-34,
prop_adjacent_dependency_relation_mean,human-continue,t-test,-20.767557647681166,2.8575804591377347e-77,2.0288821259877917e-75,1.522497843071666e-19,
pos_prop_AUX,human-create,t-test,20.558715659505143,4.900531018462959e-76,3.479377023108701e-74,7.042655565290188e-33,
token_length_median,human-explain,mannwhitneyu,27827.0,4.98813333627809e-75,3.541574668757444e-73,4.2313469503747414e-17,
per_word_perplexity,human-create,mannwhitneyu,145171.0,1.290608384797711e-72,9.163319532063747e-71,2.821944078651927e-31,
prop_adjacent_dependency_relation_mean,human-create,mannwhitneyu,23338.0,1.1337538134860697e-71,8.049652075751095e-70,2.3843109125717396e-30,
mtld,explain-create,mannwhitneyu,23799.0,1.2902205104364877e-70,9.160565624099062e-69,5.79337930778085e-11,
yules_k,explain-create,mannwhitneyu,24056.0,4.965884510843593e-70,3.525778002698951e-68,5.877153207192156e-10,
alpha_ratio,human-continue,mannwhitneyu,24250.5,1.3718074539078918e-69,9.739832922746031e-68,1.4470239606351573e-12,
entropy,human-create,mannwhitneyu,143601.0,5.001429702070948e-69,3.5510150884703725e-67,2.2205084331491527e-26,
perplexity,human-create,mannwhitneyu,143601.0,5.001429702070948e-69,3.5510150884703725e-67,1.2018397644530622e-25,
type_token_ratio,human-create,mannwhitneyu,25467.0,7.330931198384394e-67,5.20496115085292e-65,1.3718090553242377e-22,
pos_prop_PUNCT,human-continue,mannwhitneyu,142426.5,2.102617023886391e-66,1.4928580869593375e-64,8.647537217041038e-06,
second_order_coherence,human-explain,mannwhitneyu,25819.0,4.407679075543756e-66,3.1294521436360667e-64,4.309687566455661e-08,
dependency_distance_std,human-explain,mannwhitneyu,141300.0,6.172881917596868e-64,4.382746161493776e-62,8.604300293278148e-06,
first_order_coherence,human-explain,mannwhitneyu,27275.0,6.5569501144812e-63,4.655434581281652e-61,4.029363522046352e-05,
dependency_distance_std,human-create,mannwhitneyu,140805.0,7.23976741384636e-63,5.140234863830916e-61,0.0006143614497518279,
flesch_reading_ease,human-continue,t-test,18.1022344312606,7.471881075225648e-62,5.30503556341021e-60,0.002600253896134791,
syllables_per_token_mean,human-continue,mannwhitneyu,28291.0,9.620809092656802e-61,6.83077445578633e-59,0.015214663053408522,
lix,human-explain,mannwhitneyu,28795.0,1.1054374706616998e-59,7.848606041698068e-58,0.0006586545830103416,
syllables_per_token_std,human-create,t-test,-17.604237643473557,4.576617530452026e-59,3.249398446620938e-57,0.01761424086948441,
lix,human-continue,mannwhitneyu,29392.0,1.937043153186543e-58,1.3753006387624456e-56,0.04272443386433349,
pos_prop_CCONJ,continue-create,t-test,17.21209740708988,6.773850509783435e-57,4.8094338619462386e-55,0.008771619738579572,
yules_k,human-explain,mannwhitneyu,30238.0,1.0628473720090127e-56,7.54621634126399e-55,0.0333540858245222,
syllables_per_token_mean,human-explain,t-test,-16.989234532312988,1.13296786540444e-55,8.044071844371524e-54,0.04774562172365098,
pos_prop_DET,human-create,mannwhitneyu,137280.0,1.6119295000913321e-55,1.1444699450648457e-53,0.2616986464042948,
type_token_ratio,explain-create,mannwhitneyu,31061.0,4.92699408742364e-55,3.4981658020707844e-53,0.042227535007941304,
pos_prop_VERB,human-explain,mannwhitneyu,31360.5,1.961886236290945e-54,1.392939227766571e-52,0.17195411183998294,
pos_prop_AUX,human-explain,mannwhitneyu,136293.5,1.5134419952491035e-53,1.0745438166268635e-51,0.20803867098488904,
rix,human-explain,mannwhitneyu,32103.5,5.839619360690197e-53,4.14612974609004e-51,0.38879371793207523,
automated_readability_index,human-continue,mannwhitneyu,32185.0,8.455364497725486e-53,6.003308793385095e-51,0.3822041014762433,
flesch_reading_ease,human-explain,t-test,16.42930200501262,1.242062487075531e-52,8.818643658236269e-51,0.6269918009822477,
sentence_length_std,human-continue,mannwhitneyu,135802.0,1.4097469459681808e-52,1.0009203316374084e-50,0.6004690725907441,
automated_readability_index,human-explain,mannwhitneyu,32354.0,1.815457644866863e-52,1.2889749278554727e-50,0.6438958947267136,
proportion_unique_tokens,explain-create,mannwhitneyu,32869.0,1.8349414069379383e-51,1.3028083989259362e-49,0.6347473831946582,
sentence_length_std,human-explain,mannwhitneyu,134506.0,4.581860534238875e-50,3.2531209793096014e-48,,
first_order_coherence,human-create,mannwhitneyu,33812.0,1.194988198180932e-49,8.484416207084617e-48,,
rix,human-continue,mannwhitneyu,33898.5,1.745386788710453e-49,1.2392246199844217e-47,,
second_order_coherence,human-create,mannwhitneyu,33917.0,1.893424744834347e-49,1.3443315688323861e-47,,
proportion_unique_tokens,human-create,mannwhitneyu,33952.0,2.2068467396080504e-49,1.5668611851217158e-47,,
pos_prop_DET,human-continue,t-test,15.312406522310601,1.0046664305997488e-46,7.133131657258216e-45,,
pos_prop_NOUN,human-create,t-test,-15.267458549893265,1.7184309015459052e-46,1.2200859400975927e-44,,
per_word_perplexity,human-continue,mannwhitneyu,132401.0,4.039910257005082e-46,2.868336282473608e-44,,
pos_prop_NOUN,human-continue,mannwhitneyu,35954.5,1.1855038635270073e-45,8.417077431041752e-44,,
alpha_ratio,human-explain,mannwhitneyu,36223.5,3.660090521386408e-45,2.5986642701843495e-43,,
pos_prop_PUNCT,human-explain,mannwhitneyu,131325.0,3.6202777081917864e-44,2.5703971728161683e-42,,
entropy,human-continue,mannwhitneyu,131195.0,6.190129235824191e-44,4.394991757435175e-42,,
perplexity,human-continue,mannwhitneyu,131195.0,6.190129235824191e-44,4.394991757435175e-42,,
yules_k,continue-create,mannwhitneyu,37813.0,2.5175401565621214e-42,1.7874535111591062e-40,,
flesch_kincaid_grade,human-continue,mannwhitneyu,37848.0,2.899933624046378e-42,2.0589528730729283e-40,,
pos_prop_PUNCT,human-create,mannwhitneyu,129755.0,2.1352681570557413e-41,1.5160403915095763e-39,,
gunning_fog,human-continue,mannwhitneyu,38676.0,7.976122520540284e-41,5.663046989583602e-39,,
