feature,persona,test,t-statistic,pvalue,bon,bh,reject
MTLD,human-create,t-test,-38.8371231489706,6.407965133432706e-100,4.549655244737221e-98,4.549655244737221e-98,True
MTLD,human-continue,t-test,-37.121373080875856,3.350237796099948e-96,2.3786688352309632e-94,5.026981616696997e-82,True
MTLD,human-explain,t-test,-32.83305298282261,2.450635531995389e-86,1.739951227716726e-84,1.941041649761681e-59,True
mean_word_length,human-continue,t-test,-31.695878245796397,1.416051159632957e-83,1.0053963233393995e-81,2.4187759761485495e-65,True
mean_word_length,human-create,t-test,-30.359734310895348,3.012150375875833e-80,2.1386267668718416e-78,3.778617806563423e-72,True
proportion_unique_tokens,human-create,t-test,-30.268025305238755,5.136066520350336e-80,3.6466072294487383e-78,8.603198611835946e-70,True
TTR,human-create,t-test,-28.802980894758903,2.966741118853132e-76,2.1063861943857235e-74,4.190355173251099e-63,True
coleman_liau_index,human-create,t-test,-27.682812703534406,2.6609984553263544e-73,1.8893089032817116e-71,2.439575799715703e-60,True
token_length_mean,human-create,t-test,-26.777224431165457,7.270308686058545e-71,5.161919167101567e-69,3.7360812333328015e-59,True
TTR,human-continue,t-test,-26.057884307179343,6.740938427775131e-69,4.786066283720343e-67,2.5601276560454883e-47,True
coleman_liau_index,human-continue,t-test,-25.22760942176464,1.3626906907879153e-66,9.675103904594198e-65,8.34659544801589e-42,True
token_length_mean,human-continue,t-test,-24.61160788981274,7.4027496094018e-65,5.255952222675278e-63,4.131848463518183e-40,True
flesch_reading_ease,human-create,t-test,24.348735704637335,4.1313360863039e-64,2.933248621275769e-62,6.3377253566838314e-52,True
proportion_unique_tokens,human-continue,t-test,-24.248696587181716,7.966068105739013e-64,5.655908355074699e-62,1.5938007269751795e-39,True
mean_word_length,human-explain,t-test,-23.940966804813964,6.050819689661004e-63,4.296081979659313e-61,9.360714565319259e-34,True
syllables_per_token_mean,human-create,t-test,-23.366579193087972,2.7488178024965666e-61,1.9516606397725623e-59,2.5536709145942825e-37,True
dependency_distance_std,human-explain,t-test,23.20316813941991,8.201584435612737e-61,5.823124949285043e-59,5.773042691405549e-33,True
lix,human-create,t-test,-22.942077679572883,4.7358776197176357e-60,3.3624731099995215e-58,1.3812215255879696e-36,True
pos_prop_VERB,human-explain,t-test,-22.86305566350067,8.064821355417571e-60,5.7260231623464756e-58,6.144792387537549e-31,True
automated_readability_index,human-create,t-test,-21.784872783370844,1.2413059307771374e-56,8.813272108517676e-55,1.721400294312242e-36,True
pos_prop_VERB,human-create,t-test,-21.54723494019058,6.375015016966587e-56,4.5262606620462766e-54,2.7979025339914922e-36,True
syllables_per_token_median,human-create,t-test,-20.880613017821105,6.502211501423002e-54,4.616570166010332e-52,3.3682249867439904e-35,True
syllables_per_token_median,human-continue,t-test,-20.733879377108106,1.8118992216972908e-53,1.2864484474050764e-51,6.468790829659405e-34,True
flesch_kincaid_grade,human-create,t-test,-20.468865325607414,1.1604285864350676e-52,8.239042963688981e-51,3.24063937389321e-33,True
gunning_fog,human-create,t-test,-20.11756400171183,1.37671071876754e-51,9.774646103249535e-50,1.4758178204432374e-28,True
flesch_reading_ease,human-continue,t-test,19.940496179025917,4.813604604638658e-51,3.417659269293447e-49,5.247463051220606e-30,True
syllables_per_token_mean,human-continue,t-test,-19.844157750915436,9.524654901366354e-51,6.762504979970111e-49,1.418561693329455e-29,True
prop_adjacent_dependency_relation_mean,human-explain,t-test,-19.49387600340957,1.148119292725406e-49,8.151646978350382e-48,1.122518204944413e-22,True
lix,human-continue,t-test,-19.0116872372543,3.605813600064068e-48,2.5601276560454884e-46,1.5796417652189313e-24,True
coleman_liau_index,human-explain,t-test,-18.867407148383798,1.0158696602315469e-47,7.212674587643984e-46,4.040385101729359e-21,True
TTR,human-explain,t-test,-18.767067618693638,2.090140327217415e-47,1.4839996323243645e-45,1.5241506001695653e-20,True
token_length_mean,human-explain,t-test,-18.101203729625617,2.5672326007474403e-45,1.822735146530683e-43,7.986506781806497e-20,True
proportion_unique_tokens,human-explain,t-test,-17.814661281477076,2.0586203121316915e-44,1.4616204216135008e-42,4.513176049812838e-17,True
entropy,human-explain,t-test,17.609617077649375,9.1677808162703e-44,6.509124379551913e-42,4.5818036029011865e-17,True
automated_readability_index,human-continue,t-test,-17.247351040448418,1.2931345060306308e-42,9.181254992817479e-41,2.857788191305654e-18,True
alpha_ratio,human-explain,t-test,-17.093826023586928,3.9804765081005166e-42,2.8261383207513667e-40,1.1333808635350209e-14,True
prop_adjacent_dependency_relation_mean,human-create,t-test,-16.82576205079232,2.84513267800118e-41,2.0200442013808378e-39,1.0070208033908178e-21,True
alpha_ratio,human-continue,t-test,-16.703576470873784,6.983405853833549e-41,4.95821815622182e-39,9.774513521754522e-14,True
prop_adjacent_dependency_relation_mean,human-continue,t-test,-16.662945211222524,9.415165867344231e-41,6.684767765814404e-39,1.2823239482303842e-12,True
pos_prop_PUNCT,human-continue,t-test,16.49915801431195,3.1427056588242974e-40,2.231321017765251e-38,2.8822813252669762e-11,True
top_ngram_chr_fraction_4,human-explain,t-test,15.81344798889864,4.95458873191968e-38,3.517757999662973e-36,3.254260337772369e-12,True
dependency_distance_std,human-create,t-test,15.793201328332907,5.754751356832186e-38,4.085873463350852e-36,1.0305775791013166e-15,True
Yules,human-create,mannwhitneyu,0.0,1.3500109564576886e-37,9.585077790849589e-36,3.381970720346194e-14,True
Yules,human-continue,mannwhitneyu,0.0,1.3500109564576886e-37,9.585077790849589e-36,8.218050598364626e-10,True
Yules,human-explain,mannwhitneyu,7.0,1.6342375960338707e-37,1.1603086931840483e-35,2.156757121102566e-05,True
flesch_kincaid_grade,human-continue,t-test,-15.651087476138255,1.6465438229672687e-37,1.1690461143067608e-35,7.244702740824577e-08,True
per_word_perplexity,human-create,mannwhitneyu,12065.0,3.501688374730064e-37,2.4861987460583453e-35,1.4847327755121652e-09,True
entropy,human-create,mannwhitneyu,12053.0,4.849014913555611e-37,3.442800588624484e-35,1.7017936781273572e-06,True
perplexity,human-create,mannwhitneyu,12053.0,4.849014913555611e-37,3.442800588624484e-35,5.306001569651266e-06,True
gunning_fog,human-continue,t-test,-15.472613169722479,6.170407283796892e-37,4.3809891714957933e-35,0.00018394293731338208,True
pos_prop_CCONJ,human-create,t-test,15.432973983766036,8.27548636814385e-37,5.875595321382134e-35,9.946012908209658e-06,True
per_word_perplexity,human-continue,mannwhitneyu,12003.0,1.8694661523133105e-36,1.3273209681424505e-34,0.00026365485231367075,True
entropy,human-continue,mannwhitneyu,11970.0,4.5275895574637036e-36,3.2145885857992295e-34,0.000419546849632491,True
perplexity,human-continue,mannwhitneyu,11970.0,4.5275895574637036e-36,3.2145885857992295e-34,0.0030567876970621693,True
token_length_median,human-create,mannwhitneyu,397.5,1.0436753480051802e-35,7.4100949708367795e-34,0.009736840796132445,True
pos_prop_VERB,human-continue,mannwhitneyu,177.0,1.5824445432401725e-35,1.1235356257005224e-33,0.010962538892817408,True
alpha_ratio,human-create,t-test,-14.994138585281593,2.138238191974823e-35,1.5181491163021245e-33,0.057244737794310156,True
token_length_median,human-continue,mannwhitneyu,442.5,2.3232788597514323e-35,1.649527990423517e-33,0.15635276457035457,True
