feature,persona,test,t-statistic,pvalue,bon,bh
pos_prop_PUNCT,human-continue,t,25.69987863943881,1.08608762555745e-97,7.81983090401364e-96,7.81983090401364e-96
pos_prop_PUNCT,human-explain,t,25.40032161357672,4.528723258108054e-96,3.2606807458377986e-94,5.953049022517018e-86
proportion_unique_tokens,human-explain,t,22.861312533727524,1.6536247284769494e-87,1.1906098045034036e-85,1.2769039413337255e-83
second_order_coherence,human-explain,t,-22.452035237752547,5.320433088890523e-85,3.8307118240011766e-83,4.991977395644272e-82
sentence_length_std,human-continue,t,23.68519914520727,1.1963770134096673e-83,8.613914496549604e-82,4.362187197803402e-72
first_order_coherence,human-explain,t,-22.31397472583445,2.7733207753579288e-83,1.9967909582577087e-81,1.3440209243665095e-69
alpha_ratio,human-continue,t,-23.190161282629457,1.1977131502736155e-81,8.623534681970032e-80,5.600621761480386e-57
pos_prop_PUNCT,human-create,t,22.218001603352672,1.199893549525185e-81,8.639233556581332e-80,1.0927777835649753e-25
second_order_coherence,human-continue,t,-20.54588742233601,6.858492934028358e-75,4.938114912500418e-73,9.38569697549902e-38
dependency_distance_std,human-continue,t,20.580768784539366,3.0292966651412516e-73,2.181093598901701e-71,6.138243837642857e-34
dependency_distance_std,human-explain,t,20.546615997603144,6.965081109294889e-71,5.014858398692321e-69,9.15549446019355e-43
alpha_ratio,human-create,t,-20.81842538496228,7.970188898825243e-71,5.738536007154175e-69,4.463328792237174e-20
alpha_ratio,human-explain,t,-20.98547440074673,1.1200174369720914e-70,8.064125546199058e-69,3.0603943606661745e-29
sentence_length_std,human-explain,t,21.015654476113543,2.1341302565121972e-70,1.536573784688782e-68,5.687860673064744e-29
first_order_coherence,human-continue,t,-19.79734414751803,3.552085582467793e-70,2.557501619376811e-68,6.2097634930459135e-21
proportion_unique_tokens,human-continue,mannwhitneyu,136064.5,5.445048934772597e-58,3.9204352330362698e-56,3.2793783759122187e-18
prop_adjacent_dependency_relation_mean,human-explain,mannwhitneyu,29112.0,2.798074013204552e-57,2.0146132895072774e-55,2.7087463671530675e-22
