label,precision,recall,f1-score,corpus,persona1,persona2
0,0.85,1.0,0.9189189189189189,20min,human,continue
1,1.0,0.8695652173913043,0.9302325581395349,20min,human,continue
0,0.8095238095238095,1.0,0.8947368421052632,20min,human,explain
1,1.0,0.8260869565217391,0.9047619047619047,20min,human,explain
0,0.85,1.0,0.9189189189189189,20min,human,create
1,1.0,0.8695652173913043,0.9302325581395349,20min,human,create
0,0.7083333333333334,1.0,0.8292682926829268,20min,continue,explain
1,1.0,0.6956521739130435,0.8205128205128205,20min,continue,explain
0,0.5483870967741935,1.0,0.7083333333333333,20min,continue,create
1,1.0,0.391304347826087,0.5625,20min,continue,create
0,0.7391304347826086,1.0,0.85,20min,explain,create
1,1.0,0.7391304347826086,0.85,20min,explain,create
0,0.9444444444444444,1.0,0.9714285714285714,cnn,human,continue
1,1.0,0.9565217391304348,0.9777777777777777,cnn,human,continue
0,1.0,1.0,1.0,cnn,human,explain
1,1.0,1.0,1.0,cnn,human,explain
0,1.0,1.0,1.0,cnn,human,create
1,1.0,1.0,1.0,cnn,human,create
0,0.5862068965517241,1.0,0.7391304347826086,cnn,continue,explain
1,1.0,0.4782608695652174,0.6470588235294118,cnn,continue,explain
0,0.7391304347826086,1.0,0.85,cnn,continue,create
1,1.0,0.7391304347826086,0.85,cnn,continue,create
0,0.9444444444444444,1.0,0.9714285714285714,cnn,explain,create
1,1.0,0.9565217391304348,0.9777777777777777,cnn,explain,create
0,1.0,1.0,1.0,pubmed_en,human,continue
1,1.0,1.0,1.0,pubmed_en,human,continue
0,1.0,1.0,1.0,pubmed_en,human,explain
1,1.0,1.0,1.0,pubmed_en,human,explain
0,1.0,1.0,1.0,pubmed_en,human,create
1,1.0,1.0,1.0,pubmed_en,human,create
0,0.5666666666666667,1.0,0.7234042553191489,pubmed_en,continue,explain
1,1.0,0.43478260869565216,0.6060606060606061,pubmed_en,continue,explain
0,0.4594594594594595,1.0,0.6296296296296297,pubmed_en,continue,create
1,1.0,0.13043478260869565,0.23076923076923078,pubmed_en,continue,create
0,0.5862068965517241,1.0,0.7391304347826086,pubmed_en,explain,create
1,1.0,0.4782608695652174,0.6470588235294118,pubmed_en,explain,create
0,1.0,1.0,1.0,pubmed_de,human,continue
1,1.0,1.0,1.0,pubmed_de,human,continue
0,0.9473684210526315,1.0,0.972972972972973,pubmed_de,human,explain
1,1.0,0.9523809523809523,0.975609756097561,pubmed_de,human,explain
0,1.0,1.0,1.0,pubmed_de,human,create
1,1.0,1.0,1.0,pubmed_de,human,create
0,0.8181818181818182,1.0,0.9,pubmed_de,continue,explain
1,1.0,0.8095238095238095,0.8947368421052632,pubmed_de,continue,explain
0,0.6923076923076923,1.0,0.8181818181818181,pubmed_de,continue,create
1,1.0,0.6190476190476191,0.7647058823529412,pubmed_de,continue,create
0,0.9473684210526315,1.0,0.972972972972973,pubmed_de,explain,create
1,1.0,0.9523809523809523,0.975609756097561,pubmed_de,explain,create
0,0.0,0.0,0.0,zora_en,human,continue
1,0.25,1.0,0.4,zora_en,human,continue
0,0.0,0.0,0.0,zora_en,human,explain
1,0.25,1.0,0.4,zora_en,human,explain
0,0.0,0.0,0.0,zora_en,human,create
1,0.25,1.0,0.4,zora_en,human,create
0,0.0,0.0,0.0,zora_en,continue,explain
1,0.25,1.0,0.4,zora_en,continue,explain
0,0.0,0.0,0.0,zora_en,continue,create
1,0.25,1.0,0.4,zora_en,continue,create
0,0.0,0.0,0.0,zora_en,explain,create
1,0.25,1.0,0.4,zora_en,explain,create
0,0.0,0.0,0.0,zora_de,human,continue
1,0.25,1.0,0.4,zora_de,human,continue
0,0.0,0.0,0.0,zora_de,human,explain
